Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Firefox 64.0,,2019-01-18 16:21:03,2019-01-18 16:23:13,2m - 9.617s,PASSED
,,,,,,
Test Cases/TC_Transaction,Firefox 64.0,,2019-01-18 16:21:04,2019-01-18 16:23:13,2m - 8.609s,PASSED
"runFeatureFile(""Include/features/Registration-Login-Payment.feature"")",Firefox 64.0,,2019-01-18 16:21:05,2019-01-18 16:23:13,2m - 7.746s,PASSED
